Start,End,Entity,Semantic,File Name
34,53,alzheimer's disease,condition,NCT00000178
33,61,probably alzheimer's disease,condition,NCT00141661
66,81,at least 1 year,time,NCT00141661
75,76,1,value,NCT00141661
83,118,mini mental state exam (mmse) score,measurement,NCT00141661
127,132,12-26,value,NCT00141661
180,204,cholinesterase inhibitor,drug,NCT00141661
212,221,memantine,drug,NCT00141661
226,243,at least 4 months,time,NCT00141661
235,236,4,value,NCT00141661
270,287,at least 2 months,time,NCT00141661
43,63,probable alzheimer's,condition,NCT00151502
132,175,mini-mental status examination score (mmse),measurement,NCT00151502
200,207,13 - 25,value,NCT00151502
42,61,alzheimer's disease,condition,NCT00191009
109,133,mini mental status score,measurement,NCT00191009
142,151,10 and 26,value,NCT00191009
182,191,caregiver,caregiver,NCT00191009
195,220,frequent or daily contact,time,NCT00191009
313,329,alzheimer's drug,drug,NCT00191009
344,361,at least 3 months,time,NCT00191009
20,44,diagnosis of probable ad,value,NCT00205179
33,44,probable ad,condition,NCT00205179
72,81,caregiver,caregiver,NCT00205179
145,169,cholinesterase inhibitor,drug,NCT00205179
154,158,male,demography,NCT00217763
170,173,age,demography,NCT00217763
174,192,50 years and older,value,NCT00217763
195,304,female must be of non-childbearing potential (i.e. surgically sterilized or at least 2 years post-menopausal),condition,NCT00217763
271,287,at least 2 years,time,NCT00217763
319,339,probable alzheimer's,condition,NCT00217763
526,534,dementia,condition,NCT00217763
581,617,mini mental state examination (mmse),measurement,NCT00217763
668,691,living in the community,demography,NCT00217763
708,717,caregiver,caregiver,NCT00217763
719,825,participant living in an assisted living facility may be included if study medication intake is supervised,demography,NCT00217763
914,944,acetylcholinesterase inhibitor,drug,NCT00217763
946,955,donepezil,drug,NCT00217763
957,968,galantamine,drug,NCT00217763
972,984,rivastigmine,drug,NCT00217763
1017,1034,at least 4 months,time,NCT00217763
1026,1027,4,value,NCT00217763
1118,1132,not have taken,time,NCT00217763
1133,1142,memantine,drug,NCT00217763
1423,1443,legal representative,caregiver,NCT00217763
59,87,moderate alzheimer's disease,condition,NCT00224497
150,154,mmse,measurement,NCT00224497
164,169,12-24,value,NCT00224497
190,200,caregivers,caregiver,NCT00224497
281,291,laboratory,measurement,NCT00224497
74,99,mild cognitive impairment,condition,NCT00236431
100,126,delayed recall score <= 10,value,NCT00236431
132,173,new york university paragraph recall test,measurement,NCT00236431
321,330,informant,caregiver,NCT00236431
74,99,mild cognitive impairment,condition,NCT00236574
100,145,delayed recall score less than or equal to 10,value,NCT00236574
149,190,new york university paragraph recall test,measurement,NCT00236574
339,348,informant,caregiver,NCT00236574
22,30,dementia,condition,NCT00255086
54,65,50-95 years,value,NCT00255086
69,72,age,demography,NCT00255086
87,91,mmse,measurement,NCT00255086
115,119,7-28,value,NCT00255086
131,132,4,value,NCT00255086
160,169,caregiver,caregiver,NCT00255086
170,183,study partner,caregiver,NCT00255086
23,27,male,demography,NCT00265148
48,59,one or more,value,NCT00265148
222,225,age,demography,NCT00265148
391,401,laboratory,measurement,NCT00265148
847,866,alzheimer's disease,condition,NCT00265148
982,990,relative,caregiver,NCT00265148
1103,1139,mini mental state examination (mmse),measurement,NCT00265148
1149,1154,16-26,value,NCT00265148
1182,1186,aged,demography,NCT00265148
1187,1203,>/= 50 to </= 85,value,NCT00265148
1386,1395,caregiver,caregiver,NCT00265148
1556,1615,subjects living alone or in a nursing home are not eligible,demography,NCT00265148
33,53,probable alzheimer's,condition,NCT00277810
77,101,cholinesterase inhibitor,drug,NCT00277810
153,163,lives with,time,NCT00277810
176,185,caregiver,caregiver,NCT00277810
186,193,at home,demography,NCT00277810
290,304,at least daily,time,NCT00277810
20,31,outpatients,demography,NCT00309725
47,66,alzheimer's disease,condition,NCT00309725
247,267,probable alzheimer's,condition,NCT00309725
290,298,dementia,condition,NCT00309725
317,353,mini-mental state examination (mmse),measurement,NCT00309725
360,392,"ranging from 11 to 24, inclusive",value,NCT00309725
499,516,at least 6 months,time,NCT00309725
621,633,at least one,value,NCT00309725
837,842,daily,time,NCT00309725
855,866,one or more,value,NCT00309725
879,888,caregiver,caregiver,NCT00309725
1415,1423,relative,caregiver,NCT00309725
1437,1457,legal representative,caregiver,NCT00309725
20,126,the patient must have successfully completed the full 78-week duration of the double-blind cl-758007 study,condition,NCT00314912
128,132,male,demography,NCT00314912
144,147,age,demography,NCT00314912
148,166,50 years and older,value,NCT00314912
169,278,female must be of non-childbearing potential (i.e. surgically sterilized or at least 2 years post-menopausal),condition,NCT00314912
245,261,at least 2 years,time,NCT00314912
296,319,living in the community,demography,NCT00314912
336,345,caregiver,caregiver,NCT00314912
347,453,participant living in an assisted living facility may be included if study medication intake is supervised,demography,NCT00314912
529,563,reasonably good nutritional status,condition,NCT00314912
607,627,legal representative,caregiver,NCT00314912
120,124,male,demography,NCT00348140
163,165,no,value,NCT00348140
172,192,probable alzheimer's,condition,NCT00348140
227,229,ad,condition,NCT00348140
426,462,mild to moderate alzheimer's disease,condition,NCT00348140
479,483,mmse,measurement,NCT00348140
490,498,10 to 26,value,NCT00348140
523,547,hachinski ischemia score,measurement,NCT00348140
548,551,≤ 4,value,NCT00348140
583,586,age,demography,NCT00348140
587,604,≥50 and ≤90 years,value,NCT00348140
606,623,at least 6 months,time,NCT00348140
635,665,acetylcholinesterase inhibitor,drug,NCT00348140
704,748,stable dosing for at least the last 2 months,time,NCT00348140
928,1077,"female subjects must be post-menopausal (i.e. >1 year without menstrual period), surgically sterile, or agree to use adequate method of contraception",condition,NCT00348140
1146,1286,"pre-menopausal or who have been post-menopausal for <1 year must undertake pregnancy testing (urine test) at visit 1, which must be negative",condition,NCT00348140
1288,1303,brain ct or mri,procedure,NCT00348140
1300,1303,mri,measurement,NCT00348140
1370,1453,no evidence of any other potential cause of dementia other than alzheimer's disease,value,NCT00348140
1414,1422,dementia,condition,NCT00348140
1572,1589,neurological exam,procedure,NCT00348140
1764,1774,lives with,time,NCT00348140
1830,1839,caregiver,caregiver,NCT00348140
2695,2770,"no less than 10 hours per week with the subject, divided over multiple days",time,NCT00348140
3398,3473,qtc (either qtc b (bazett's correction) or qtc f (fridericia's correction)),measurement,NCT00348140
3474,3482,<450msec,value,NCT00348140
3517,3582,subjects with bundle branch block (for whom either qtc b or qtc f,measurement,NCT00348140
3591,3599,<480msec,value,NCT00348140
153,157,male,demography,NCT00357357
169,172,age,demography,NCT00357357
173,186,over 55 years,value,NCT00357357
189,233,females must be non-child-bearing potential.,condition,NCT00357357
234,361,male patients with female partners of child-bearing potential should use effective contraception for the duration of the study.,condition,NCT00357357
377,397,probable alzheimer's,condition,NCT00357357
613,621,dementia,condition,NCT00357357
661,697,mini-mental state examination (mmse),measurement,NCT00357357
707,712,12-24,value,NCT00357357
731,754,living in the community,demography,NCT00357357
775,789,at least daily,time,NCT00357357
816,821,carer,caregiver,NCT00357357
37,56,alzheimer's disease,condition,NCT00380302
64,158,brain image(computerized axial tomographic scan -cat scan or magnetic resonance imaging - mri),procedure,NCT00380302
154,157,mri,measurement,NCT00380302
20,24,male,demography,NCT00381238
64,158,completed the 12 month visit of 49653/461 (12 months of treatment) without tolerability issues,condition,NCT00381238
278,587,"female subjects must be post-menopausal (i.e. >6 months without menstrual period), surgically sterile, or if of child-bearing potential, using effective contraceptive measures (oral contraceptives, norplant, depo-provera, an intra-uterine device (iud) a diaphragm with spermicide or a condom with spermicide).",condition,NCT00381238
324,333,>6 months,time,NCT00381238
759,768,caregiver,caregiver,NCT00381238
20,37,at least 60 years,value,NCT00384423
38,41,old,demography,NCT00384423
55,60,10 mg,value,NCT00384423
69,76,aricept,drug,NCT00384423
81,97,at least 90 days,time,NCT00384423
147,167,probable alzheimer's,condition,NCT00384423
182,190,dementia,condition,NCT00384423
274,341,"not pregnant, planning a pregnancy, or capable of becoming pregnant",condition,NCT00384423
33,35,no,value,NCT00428090
42,62,probable alzheimer's,condition,NCT00428090
72,74,ad,condition,NCT00428090
77,81,mmse,measurement,NCT00428090
88,96,10 to 23,value,NCT00428090
195,201,acheis,drug,NCT00428090
217,226,caregiver,caregiver,NCT00428090
20,23,age,demography,NCT00438568
24,37,55 or greater,value,NCT00438568
97,122,mild cognitive impairment,condition,NCT00438568
132,151,alzheimer's disease,condition,NCT00438568
153,155,ad,condition,NCT00438568
189,198,memantine,drug,NCT00438568
212,237,cholinesterase inhibitors,drug,NCT00438568
67,70,age,demography,NCT00478205
94,108,45 to 90 years,value,NCT00478205
132,141,caregiver,caregiver,NCT00478205
20,34,female or male,demography,NCT00500500
38,52,50 to 85 years,value,NCT00500500
53,56,old,demography,NCT00500500
64,74,care giver,caregiver,NCT00500500
75,99,mini mental status (mms),measurement,NCT00500500
113,121,16 to 26,value,NCT00500500
132,156,clinical dementia rating,measurement,NCT00500500
141,149,dementia,condition,NCT00500500
158,161,cdr,measurement,NCT00500500
168,190,inferior or equal to 1,value,NCT00500500
267,286,alzheimer's disease,condition,NCT00500500
341,349,positive,value,NCT00500500
40,59,alzheimer's disease,condition,NCT00581867
20,24,male,demography,NCT00663936
28,73,female (post-menopausal or surgically sterile,condition,NCT00663936
89,125,mild to moderate alzheimer's disease,condition,NCT00663936
144,153,donepezil,drug,NCT00663936
155,158,age,demography,NCT00663936
159,167,50 to 90,value,NCT00663936
195,218,living in the community,demography,NCT00663936
250,259,informant,caregiver,NCT00663936
263,276,study partner,caregiver,NCT00663936
278,287,caregiver,caregiver,NCT00663936
0,12,men or women,demography,NCT00672945
29,53,diagnosis of probable ad,value,NCT00672945
42,53,probable ad,condition,NCT00672945
54,58,mmse,measurement,NCT00672945
65,73,12 to 22,value,NCT00672945
84,87,age,demography,NCT00672945
88,105,>50 and <90 years,value,NCT00672945
115,132,at least 4 months,time,NCT00672945
124,125,4,value,NCT00672945
153,162,donepezil,drug,NCT00672945
163,167,10mg,value,NCT00672945
178,193,brain ct or mri,procedure,NCT00672945
190,193,mri,measurement,NCT00672945
241,257,within 24 months,time,NCT00672945
258,282,neurological examination,procedure,NCT00672945
283,412,"without focal deficits (excluding changes attributable to peripheral nervous system disease, trauma or congenital birth deficits)",value,NCT00672945
413,510,no history or evidence of any other cns disorder that could be interpreted as a cause of dementia,condition,NCT00672945
511,544,no diagnosis of vascular dementia,condition,NCT00672945
545,642,no history of significant psychiatric illness such as schizophrenia or bipolar affective disorder,condition,NCT00672945
707,721,antidepressant,drug,NCT00672945
726,735,>6 months,time,NCT00672945
752,897,"no evidence of the following: current vitamin b12 deficiency, positive syphilis serology, positive hiv test, or abnormalities in thyroid function",condition,NCT00672945
814,822,positive,value,NCT00672945
898,925,no cognitive rehabilitation,condition,NCT00672945
926,941,within 6 months,time,NCT00672945
977,986,caregiver,caregiver,NCT00672945
1097,1132,no history of drug or alcohol abuse,condition,NCT00672945
1133,1158,no clinically significant,value,NCT00672945
1159,1169,laboratory,measurement,NCT00672945
1274,1283,memantine,drug,NCT00672945
1284,1299,within 2 months,time,NCT00672945
1336,1367,acetylcholinesterase inhibitors,drug,NCT00672945
1398,1413,within 4 months,time,NCT00672945
1454,1457,ecg,procedure,NCT00672945
1475,1490,cardiac history,condition,NCT00672945
1491,1534,no history of uncontrolled seizure disorder,condition,NCT00672945
1535,1551,within 12 months,time,NCT00672945
1583,1597,mao inhibitors,drug,NCT00672945
1599,1608,bupropion,drug,NCT00672945
1609,1619,fluoxetine,drug,NCT00672945
1621,1631,paroxetine,drug,NCT00672945
1643,1667,no history of malignancy,condition,NCT00672945
1668,1682,within 3 years,time,NCT00672945
1700,1741,women cannot be pregnant or breastfeeding,condition,NCT00672945
20,44,diagnosis of probable ad,value,NCT00676143
33,44,probable ad,condition,NCT00676143
51,55,mmse,measurement,NCT00676143
65,70,16-26,value,NCT00676143
76,85,brain mri,procedure,NCT00676143
82,85,mri,measurement,NCT00676143
86,121,consistent with the diagnosis of ad,value,NCT00676143
140,164,cholinesterase inhibitor,drug,NCT00676143
168,177,memantine,drug,NCT00676143
198,207,caregiver,caregiver,NCT00676143
42,52,either sex,demography,NCT00684944
81,86,carer,caregiver,NCT00684944
499,519,legal representative,caregiver,NCT00684944
588,654,must have been ongoing in trx-014-001 at time of study termination,condition,NCT00684944
20,32,men or women,demography,NCT00693004
49,73,diagnosis of probable ad,value,NCT00693004
62,73,probable ad,condition,NCT00693004
74,78,mmse,measurement,NCT00693004
85,93,16 to 24,value,NCT00693004
104,107,age,demography,NCT00693004
108,125,>50 and <90 years,value,NCT00693004
126,141,brain ct or mri,procedure,NCT00693004
138,141,mri,measurement,NCT00693004
189,205,within 12 months,time,NCT00693004
206,230,neurological examination,procedure,NCT00693004
231,360,"without focal deficits (excluding changes attributable to peripheral nervous system disease, trauma or congenital birth deficits)",value,NCT00693004
361,458,no history or evidence of any other cns disorder that could be interpreted as a cause of dementia,condition,NCT00693004
459,492,no diagnosis of vascular dementia,condition,NCT00693004
493,590,no history of significant psychiatric illness such as schizophrenia or bipolar affective disorder,condition,NCT00693004
655,669,antidepressant,drug,NCT00693004
674,683,>6 months,time,NCT00693004
700,845,"no evidence of the following: current vitamin b12 deficiency, positive syphilis serology, positive hiv test, or abnormalities in thyroid function",condition,NCT00693004
762,770,positive,value,NCT00693004
846,873,no cognitive rehabilitation,condition,NCT00693004
874,889,within 6 months,time,NCT00693004
925,934,caregiver,caregiver,NCT00693004
20,62,giving informed consent to lumbar puncture,condition,NCT00715858
47,62,lumbar puncture,procedure,NCT00715858
148,168,probable alzheimer's,condition,NCT00715858
177,182,smmse,measurement,NCT00715858
183,188,14-26,value,NCT00715858
218,221,age,demography,NCT00715858
222,235,50 or greater,value,NCT00715858
236,245,caregiver,caregiver,NCT00715858
310,374,adequate english literacy to complete neuropsychological testing,condition,NCT00715858
375,407,generally stable level of health,condition,NCT00715858
113,132,alzheimer's disease,condition,NCT00785759
175,177,ad,condition,NCT00785759
206,217,probable ad,condition,NCT00785759
226,228,no,value,NCT00785759
311,319,dementia,condition,NCT00785759
381,393,amnestic mci,condition,NCT00785759
